rank,spanish,english,form,infinitive
1,de,of,preposition,
2,la,the,article,
3,que,that,conjunction,
4,el,the,article,
5,en,in,preposition,
6,y,and,conjunction,
7,a,to,preposition,
8,los,the,article,
9,se,oneself,pronoun,
10,del,of the,preposition,
11,las,the,article,
12,un,a,article,
13,por,by,preposition,
14,con,with,preposition,
15,no,no,adverb,
16,una,a,article,
17,su,his/her,pronoun,
18,para,for,preposition,
19,es,he/she is,verb,ser
20,al,to the,preposition,
21,lo,it,pronoun,
22,como,like,conjunction,
23,más,more,adverb,
24,o,or,conjunction,
25,pero,but,conjunction,
26,sus,his/her,pronoun,
27,le,to him/her,pronoun,
28,ha,he/she has,verb,haber
29,me,me,pronoun,
30,si,if,conjunction,
31,sin,without,preposition,
32,sobre,about,preposition,
33,este,this,pronoun,
34,ya,already,adverb,
35,entre,between,preposition,
36,cuando,when,conjunction,
37,todo,all,pronoun,
38,esta,this,pronoun,
39,ser,to be,verb,ser
40,son,they are,verb,ser
41,dos,two,noun,
42,también,also,adverb,
43,fue,he/she was/went,verb,ser/ir
44,había,there was,verb,haber
45,era,he/she was,verb,ser
46,muy,very,adverb,
47,años,years,noun,
48,hasta,until,preposition,
49,desde,from,preposition,
50,está,he/she is,verb,estar
51,mi,my,pronoun,
52,porque,because,conjunction,
53,qué,what,pronoun,
54,sólo,only,adverb,
55,han,they have,verb,haber
56,yo,I,pronoun,
57,hay,there is/are,verb,haber
58,vez,time,noun,
59,puede,he/she can,verb,poder
60,todos,all,pronoun,
61,así,thus,adverb,
62,nos,us,pronoun,
63,ni,nor,conjunction,
64,parte,part,noun,
65,tiene,he/she has,verb,tener
66,él,he,pronoun,
67,uno,one,pronoun,
68,donde,where,adverb,
69,bien,well,adverb,
70,tiempo,time,noun,
71,mismo,same,adjective,
72,ese,that,pronoun,
73,ahora,now,adverb,
74,cada,each,adjective,
75,e,and,conjunction,
76,vida,life,noun,
77,otro,other,adjective,
78,después,after,adverb,
79,te,you,pronoun,
80,otros,others,pronoun,
81,aunque,although,conjunction,
82,esa,that,pronoun,
83,eso,that,pronoun,
84,hace,he/she does,verb,hacer
85,otra,other,adjective,
86,gobierno,government,noun,
87,tan,so,adverb,
88,durante,during,preposition,
89,siempre,always,adverb,
90,día,day,noun,
91,tanto,so much,adverb,
92,ella,she,pronoun,
93,tres,three,noun,
94,sí,yes,adverb,
95,dijo,he/she said,verb,decir
96,sido,been,verb,ser
97,gran,great,adjective,
98,país,country,noun,
99,según,according to,preposition,
100,menos,less,adverb,
101,mundo,world,noun,
102,año,year,noun,
103,antes,before,adverb,
104,estado,state,noun,
105,contra,against,preposition,
106,sino,but rather,conjunction,
107,forma,form,noun,
108,caso,case,noun,
109,nada,nothing,pronoun,
110,hacer,to do,verb,hacer
111,general,general,adjective,
112,estaba,he/she was,verb,estar
113,poco,little,adverb,
114,estos,these,pronoun,
115,presidente,president,noun,
116,mayor,greater,adjective,
117,ante,before,preposition,
118,unos,some,article,
119,les,to them,pronoun,
120,algo,something,pronoun,
121,hacia,toward,preposition,
122,casa,house,noun,
123,ellos,they,pronoun,
124,ayer,yesterday,adverb,
125,hecho,fact,noun,
126,primera,first,adjective,
127,mucho,much,adverb,
128,mientras,while,conjunction,
129,además,besides,adverb,
130,quien,who,pronoun,
131,momento,moment,noun,
132,millones,millions,noun,
133,esto,this,pronoun,
134,españa,Spain,noun,
135,hombre,man,noun,
136,están,they are,verb,estar
137,pues,well,conjunction,
138,hoy,today,adverb,
139,lugar,place,noun,
140,madrid,Madrid,noun,
141,nacional,national,adjective,
142,trabajo,work,noun,
143,otras,others,pronoun,
144,mejor,better,adjective,
145,nuevo,new,adjective,
146,decir,to say,verb,decir
147,algunos,some,pronoun,
148,entonces,then,adverb,
149,todas,all,pronoun,
150,días,days,noun,
151,debe,he/she must,verb,deber
152,política,politics,noun,
153,cómo,how,adverb,
154,casi,almost,adverb,
155,toda,all,adjective,
156,tal,such,adjective,
157,luego,then,adverb,
158,pasado,past,noun,
159,primer,first,adjective,
160,medio,half,noun,
161,va,he/she goes,verb,ir
162,estas,these,pronoun,
163,sea,he/she may be,verb,ser
164,tenía,he/she had,verb,tener
165,nunca,never,adverb,
166,poder,to be able,verb,poder
167,aquí,here,adverb,
168,ver,to see,verb,ver
169,veces,times,noun,
170,embargo,embargo,noun,
171,partido,party,noun,
172,personas,people,noun,
173,grupo,group,noun,
174,cuenta,account,noun,
175,pueden,they can,verb,poder
176,tienen,they have,verb,tener
177,misma,same,adjective,
178,nueva,new,adjective,
179,cual,which,pronoun,
180,fueron,they were/went,verb,ser/ir
181,mujer,woman,noun,
182,frente,front,noun,
183,josé,Jose,noun,
184,tras,after,preposition,
185,cosas,things,noun,
186,fin,end,noun,
187,ciudad,city,noun,
188,he,I have,verb,haber
189,social,social,adjective,
190,manera,way,noun,
191,tener,to have,verb,tener
192,sistema,system,noun,
193,será,he/she will be,verb,ser
194,historia,history,noun,
195,muchos,many,adjective,
196,juan,Juan,noun,
197,tipo,type,noun,
198,cuatro,four,noun,
199,dentro,inside,adverb,
200,nuestro,our,pronoun,
201,punto,point,noun,
202,dice,he/she says,verb,decir
203,ello,it,pronoun,
204,cualquier,any,adjective,
205,noche,night,noun,
206,aún,still,adverb,
207,agua,water,noun,
208,parece,he/she seems,verb,parecer
209,haber,to have,verb,haber
210,situación,situation,noun,
211,fuera,outside,adverb,
212,bajo,under,preposition,
213,grandes,big,adjective,
214,nuestra,our,pronoun,
215,ejemplo,example,noun,
216,acuerdo,agreement,noun,
217,habían,they had,verb,haber
218,usted,you,pronoun,
219,estados,states,noun,
220,hizo,he/she did,verb,hacer
221,nadie,nobody,pronoun,
222,países,countries,noun,
223,horas,hours,noun,
224,posible,possible,adjective,
225,tarde,afternoon,noun,
226,ley,law,noun,
227,importante,important,adjective,
228,guerra,war,noun,
229,desarrollo,development,noun,
230,proceso,process,noun,
231,realidad,reality,noun,
232,sentido,sense,noun,
233,lado,side,noun,
234,mí,me,pronoun,
235,tu,your,pronoun,
236,cambio,change,noun,
237,allí,there,adverb,
238,mano,hand,noun,
239,eran,they were,verb,ser
240,estar,to be,verb,estar
241,san,saint,noun,
242,número,number,noun,
243,sociedad,society,noun,
244,unas,some,article,
245,centro,center,noun,
246,padre,father,noun,
247,gente,people,noun,
248,final,final,adjective,
249,relación,relationship,noun,
250,cuerpo,body,noun,
251,obra,work,noun,
252,incluso,even,adverb,
253,través,through,noun,
254,último,last,adjective,
255,madre,mother,noun,
256,mis,my,pronoun,
257,modo,way,noun,
258,problemas,problems,noun,
259,cinco,five,noun,
260,carlos,Carlos,noun,
261,hombres,men,noun,
262,información,information,noun,
263,ojos,eyes,noun,
264,muerte,death,noun,
265,nombre,name,noun,
266,algunas,some,pronoun,
267,público,public,adjective,
268,mujeres,women,noun,
269,siglo,century,noun,
270,todavía,still,adverb,
271,meses,months,noun,
272,mañana,morning,noun,
273,esos,those,pronoun,
274,nosotros,we,pronoun,
275,hora,hour,noun,
276,muchas,many,adjective,
277,pueblo,town,noun,
278,alguna,some,adjective,
279,dar,to give,verb,dar
280,problema,problem,noun,
281,don,Mr.,noun,
282,da,he/she gives,verb,dar
283,tú,you,pronoun,
284,derecho,right,noun,
285,verdad,truth,noun,
286,maría,Maria,noun,
287,unidos,united,adjective,
288,podría,he/she could,verb,poder
289,sería,he/she would be,verb,ser
290,junto,together,adverb,
291,cabeza,head,noun,
292,aquel,that,pronoun,
293,luis,Luis,noun,
294,cuanto,as much as,adverb,
295,tierra,earth,noun,
296,equipo,team,noun,
297,segundo,second,adjective,
298,director,director,noun,
299,dicho,said,verb,decir
300,cierto,certain,adjective,
301,casos,cases,noun,
302,manos,hands,noun,
303,nivel,level,noun,
304,podía,he/she could,verb,poder
305,familia,family,noun,
306,largo,long,adjective,
307,partir,to leave,verb,partir
308,falta,lack,noun,
309,llegar,to arrive,verb,llegar
310,propio,own,adjective,
311,ministro,minister,noun,
312,cosa,thing,noun,
313,primero,first,adjective,
314,seguridad,security,noun,
315,hemos,we have,verb,haber
316,mal,bad,adverb,
317,trata,he/she treats,verb,tratar
318,algún,some,adjective,
319,tuvo,he/she had,verb,tener
320,respecto,respect,noun,
321,semana,week,noun,
322,varios,several,adjective,
323,real,real,adjective,
324,sé,I know,verb,saber
325,voz,voice,noun,
326,paso,step,noun,
327,señor,sir,noun,
328,mil,thousand,noun,
329,quienes,who,pronoun,
330,proyecto,project,noun,
331,mercado,market,noun,
332,mayoría,majority,noun,
333,luz,light,noun,
334,claro,clear,adjective,
335,iba,he/she was going,verb,ir
336,éste,this one,pronoun,
337,pesetas,pesetas,noun,
338,orden,order,noun,
339,español,Spanish,adjective,
340,buena,good,adjective,
341,quiere,he/she wants,verb,querer
342,aquella,that,pronoun,
343,programa,program,noun,
344,palabras,words,noun,
345,internacional,international,adjective,
346,van,they go,verb,ir
347,esas,those,pronoun,
348,segunda,second,adjective,
349,empresa,company,noun,
350,puesto,position,noun,
351,ahí,there,adverb,
352,propia,own,adjective,
353,m,m,noun,
354,libro,book,noun,
355,igual,equal,adjective,
356,político,political,adjective,
357,persona,person,noun,
358,últimos,last,adjective,
359,ellas,they,pronoun,
360,total,total,adjective,
361,creo,I believe,verb,creer
362,tengo,I have,verb,tener
363,dios,God,noun,
364,c,c,noun,
365,española,Spanish,adjective,
366,condiciones,conditions,noun,
367,méxico,Mexico,noun,
368,fuerza,force,noun,
369,solo,alone,adjective,
370,único,only,adjective,
371,acción,action,noun,
372,amor,love,noun,
373,policía,police,noun,
374,puerta,door,noun,
375,pesar,to weigh,verb,pesar
376,zona,zone,noun,
377,sabe,he/she knows,verb,saber
378,calle,street,noun,
379,interior,interior,adjective,
380,tampoco,neither,adverb,
381,música,music,noun,
382,ningún,no,adjective,
383,vista,view,noun,
384,campo,field,noun,
385,buen,good,adjective,
386,hubiera,he/she had,verb,haber
387,saber,to know,verb,saber
388,obras,works,noun,
389,razón,reason,noun,
390,ex,ex,other,
391,niños,children,noun,
392,presencia,presence,noun,
393,tema,topic,noun,
394,dinero,money,noun,
395,comisión,commission,noun,
396,antonio,Antonio,noun,
397,servicio,service,noun,
398,hijo,son,noun,
399,última,last,adjective,
400,ciento,hundred,noun,
401,estoy,I am,verb,estar
402,hablar,to speak,verb,hablar
403,dio,he/she gave,verb,dar
404,minutos,minutes,noun,
405,producción,production,noun,
406,camino,road,noun,
407,seis,six,noun,
408,quién,who,pronoun,
409,fondo,bottom,noun,
410,dirección,direction,noun,
411,papel,paper,noun,
412,demás,rest,pronoun,
413,barcelona,Barcelona,noun,
414,idea,idea,noun,
415,especial,special,adjective,
416,diferentes,different,adjective,
417,dado,given,verb,dar
418,base,base,noun,
419,capital,capital,noun,
420,ambos,both,pronoun,
421,europa,Europe,noun,
422,libertad,freedom,noun,
423,relaciones,relationships,noun,
424,espacio,space,noun,
425,medios,means,noun,
426,ir,to go,verb,ir
427,actual,current,adjective,
428,población,population,noun,
429,empresas,companies,noun,
430,estudio,study,noun,
431,salud,health,noun,
432,servicios,services,noun,
433,haya,he/she may have,verb,haber
434,principio,beginning,noun,
435,siendo,being,verb,ser
436,cultura,culture,noun,
437,anterior,previous,adjective,
438,alto,tall,adjective,
439,media,average,noun,
440,mediante,through,preposition,
441,primeros,first,adjective,
442,arte,art,noun,
443,paz,peace,noun,
444,sector,sector,noun,
445,imagen,image,noun,
446,medida,measure,noun,
447,deben,they must,verb,deber
448,datos,data,noun,
449,consejo,council,noun,
450,personal,personal,adjective,
451,interés,interest,noun,
452,julio,July,noun,
453,grupos,groups,noun,
454,miembros,members,noun,
455,ninguna,none,adjective,
456,existe,he/she exists,verb,existir
457,cara,face,noun,
458,edad,age,noun,
459,etc,etc,other,
460,movimiento,movement,noun,
461,visto,seen,verb,ver
462,llegó,he/she arrived,verb,llegar
463,puntos,points,noun,
464,actividad,activity,noun,
465,bueno,good,adjective,
466,uso,use,noun,
467,niño,child,noun,
468,difícil,difficult,adjective,
469,joven,young,adjective,
470,futuro,future,noun,
471,aquellos,those,pronoun,
472,mes,month,noun,
473,pronto,soon,adverb,
474,soy,I am,verb,ser
475,hacía,he/she was doing,verb,hacer
476,nuevos,new,adjective,
477,nuestros,our,pronoun,
478,estaban,they were,verb,estar
479,posibilidad,possibility,noun,
480,sigue,he/she follows,verb,seguir
481,cerca,near,adverb,
482,resultados,results,noun,
483,educación,education,noun,
484,atención,attention,noun,
485,gonzález,Gonzalez,noun,
486,capacidad,capacity,noun,
487,efecto,effect,noun,
488,necesario,necessary,adjective,
489,valor,value,noun,
490,aire,air,noun,
491,investigación,research,noun,
492,siguiente,following,adjective,
493,figura,figure,noun,
494,central,central,adjective,
495,comunidad,community,noun,
496,necesidad,need,noun,
497,serie,series,noun,
498,organización,organization,noun,
499,nuevas,new,adjective,
500,calidad,quality,noun
501,economía,economy,noun,
502,carácter,character,noun,
503,jefe,boss,noun,
504,estamos,we are,verb,estar
505,prensa,press,noun,
506,control,control,noun,
507,sociales,social,adjective,
508,universidad,university,noun,
509,militar,military,adjective,
510,cabo,end/cape,noun,
511,diez,ten,noun,
512,fuerzas,forces,noun,
513,congreso,congress,noun,
514,ésta,this one,pronoun,
515,hijos,children/sons,noun,
516,justicia,justice,noun,
517,mundial,world/global,adjective,
518,dólares,dollars,noun,
519,juego,game,noun,
520,económica,economic,adjective,
521,políticos,politicians,noun,
522,duda,doubt,noun,
523,recursos,resources,noun,
524,pública,public,adjective,
525,crisis,crisis,noun,
526,próximo,next,adjective,
527,tenemos,we have,verb,tener
528,decisión,decision,noun,
529,varias,several,adjective,
530,popular,popular,adjective,
531,tenido,had,verb,tener
532,apenas,barely,adverb,
533,época,era/period,noun,
534,banco,bank,noun,
535,presente,present,adjective,
536,menor,smaller/younger,adjective,
537,quiero,I want,verb,querer
538,pasar,to pass/happen,verb,pasar
539,resultado,result,noun,
540,televisión,television,noun,
541,encuentra,he/she finds,verb,encontrar
542,gracias,thanks,noun,
543,ministerio,ministry,noun,
544,conjunto,set/ensemble,noun,
545,defensa,defense,noun,
546,alguien,someone,pronoun,
547,queda,he/she stays,verb,quedar
548,hacen,they do/make,verb,hacer
549,pasa,he/she passes,verb,pasar
550,resto,rest/remainder,noun,
551,causa,cause,noun,
552,seguir,to follow/continue,verb,seguir
553,allá,there,adverb,
554,palabra,word,noun,
555,voy,I go,verb,ir
556,cuya,whose,pronoun,
557,vamos,we go,verb,ir
558,mar,sea,noun,
559,estudios,studies,noun,
560,derechos,rights,noun,
561,importancia,importance,noun,
562,cuales,which,pronoun,
563,contrario,opposite,adjective,
564,manuel,Manuel,noun,
565,garcía,Garcia,noun,
566,fuerte,strong,adjective,
567,sol,sun,noun,
568,jóvenes,young people,noun,
569,apoyo,support,noun,
570,habría,there would be,verb,haber
571,civil,civil,adjective,
572,miguel,Miguel,noun,
573,pedro,Pedro,noun,
574,partidos,parties,noun,
575,libre,free,adjective,
576,fuentes,sources,noun,
577,administración,administration,noun,
578,común,common,adjective,
579,dejar,to leave/let,verb,dejar
580,cine,cinema,noun,
581,salir,to leave/go out,verb,salir
582,comunicación,communication,noun,
583,b,B,noun,
584,experiencia,experience,noun,
585,demasiado,too much,adverb,
586,plan,plan,noun,
587,respuesta,answer,noun,
588,energía,energy,noun,
589,izquierda,left,noun,
590,función,function,noun,
591,principal,main,adjective,
592,superior,upper/superior,adjective,
593,naturaleza,nature,noun,
594,podemos,we can,verb,poder
595,unión,union,noun,
596,especialmente,especially,adverb,
597,rey,king,noun,
598,domingo,Sunday,noun,
599,favor,favor,noun,
600,cantidad,quantity,noun,
601,elecciones,elections,noun,
602,clase,class,noun,
603,productos,products,noun,
604,españoles,Spaniards,noun,
605,conocer,to know/meet,verb,conocer
606,teatro,theater,noun,
607,importantes,important,adjective,
608,evitar,to avoid,verb,evitar
609,color,color,noun,
610,actividades,activities,noun,
611,mesa,table,noun,
612,p,P,noun,
613,decía,he/she was saying,verb,decir
614,cuyo,whose,pronoun,
615,debido,due to,preposition,
616,alta,tall/high,adjective,
617,francisco,Francisco,noun,
618,secretario,secretary,noun,
619,objeto,object,noun,
620,quizá,perhaps,adverb,
621,posición,position,noun,
622,parecía,he/she seemed,verb,parecer
623,natural,natural,adjective,
624,elementos,elements,noun,
625,hubo,there was,verb,haber
626,objetivo,objective,noun,
